ロット番号,塗布長,種別,号機,コーター部温度,コーター部相対湿度,ポンプ圧力,乾燥ゾーン1温度,乾燥ゾーン2温度,UV照度,ランプ点灯時間,チャンバー内O2濃度,UVロール温度,ブリードアウト
SC0006968,100m,研究所テスト,YC-08,29.73,51.3,0.9,120.23,122.45,1021.1,2079,0.01268,89.09,False
SC0006969,1200m,製造,YC-08,27.53,50.2,0.9,120.0,122.06,1020.1,830,0.01107,89.06,False
SC0006970,1500m,製造,YC-08,29.0,50.9,0.9,120.0,122.09,1020.1,1524,0.01076,89.08,False
SC0006971,1500m,製造,YC-08,27.47,50.2,0.9,120.05,122.05,1020.2,358,0.01032,89.03,False
SC0006972,1200m,製造,YC-08,28.36,50.6,0.9,120.0,122.01,1020.2,1034,0.01092,89.04,False
SC0006973,1000m,製造,YC-08,27.36,50.2,0.9,120.09,122.01,1020.1,275,0.01011,89.05,False
SC0006974,1000m,製造,YC-08,27.38,50.2,0.9,120.0,122.02,1020.2,288,0.01012,89.04,False
SC0006975,1200m,製造,YC-08,29.19,50.6,0.901,120.05,122.02,1020.1,948,0.01094,89.06,False
SC0006976,1200m,製造,YC-08,28.45,50.7,0.9,120.19,122.34,1020.6,1107,0.01121,89.05,False
SC0006977,1200m,製造,YC-08,28.39,50.7,0.9,120.05,122.02,1020.1,1059,0.01137,89.04,True
SC0006978,1000m,製造,YC-08,27.91,50.4,0.9,120.0,122.16,1020.2,691,0.01062,89.04,False
SC0006979,1200m,製造,YC-08,27.91,50.4,0.9,120.05,122.03,1020.2,691,0.01076,89.08,False
SC0006980,1000m,製造,YC-08,28.69,50.8,0.9,120.02,122.0,1020.1,1284,0.01229,89.04,False
SC0006981,500m,製造,YC-08,27.27,50.1,0.9,120.01,122.01,1020.0,205,0.01021,89.04,False
SC0006982,1200m,製造,YC-08,27.83,50.4,0.9,120.01,122.02,1020.0,634,0.0105,89.02,False
SC0006983,1500m,製造,YC-08,27.73,50.3,0.9,120.0,122.01,1020.0,552,0.01027,89.04,False
SC0006984,1200m,研究所テスト,YC-08,30.18,51.5,0.9,120.14,122.05,1020.3,2426,0.01457,89.11,True
SC0006985,500m,製造,YC-08,27.91,50.4,0.9,120.07,122.11,1020.1,691,0.01041,89.06,False
SC0006986,1200m,製造,YC-08,28.73,50.4,0.9,120.0,122.02,1020.0,691,0.01048,89.04,False
SC0006987,1200m,試作品,YC-08,28.79,50.8,0.9,120.0,122.02,1020.1,1367,0.01163,89.04,False
SC0006988,500m,製造,YC-08,27.61,50.3,0.9,120.0,122.01,1020.0,462,0.01014,89.03,False
SC0006989,1200m,製造,YC-08,27.42,50.3,0.9,120.0,122.13,1020.5,663,0.01079,89.06,False
SC0006990,1000m,製造,YC-08,27.87,50.4,0.9,120.01,122.0,1020.0,627,0.0104,89.05,False
SC0006991,1500m,製造,YC-08,27.91,50.4,0.9,120.0,122.05,1020.0,691,0.01034,89.06,False
SC0006992,1200m,製造,YC-08,27.55,50.3,0.9,120.0,122.02,1020.0,413,0.01033,89.03,False
SC0006993,1000m,製造,YC-08,27.35,50.2,0.9,120.05,122.05,1020.2,386,0.01042,89.13,True
SC0006994,500m,試作品,YC-08,34.33,52.9,0.9,120.18,122.36,1020.7,2426,0.01313,89.07,False
SC0006995,1000m,製造,YC-08,29.55,50.8,0.9,120.0,122.07,1020.2,1281,0.01102,89.04,False
SC0006996,1200m,製造,YC-08,27.67,50.3,0.9,120.05,122.05,1020.2,509,0.01051,89.01,True
SC0006997,1200m,製造,YC-08,27.75,50.4,0.9,120.13,122.16,1020.4,1107,0.01099,89.05,False
SC0006998,500m,製造,YC-08,27.51,50.3,0.9,120.0,122.02,1020.5,552,0.01132,89.02,False
SC0006999,1500m,製造,YC-08,28.27,50.6,0.9,120.02,122.03,1020.1,968,0.01125,89.07,False
SC0007000,1500m,製造,YC-08,27.19,50.1,0.9,120.0,122.04,1020.3,136,0.01008,89.03,False
SC0007001,1500m,製造,YC-08,27.27,50.1,0.9,120.14,122.02,1020.2,205,0.01039,89.11,False
SC0007002,1000m,製造,YC-08,28.64,50.8,0.9,120.0,122.08,1020.2,1246,0.01185,89.06,True
SC0007003,1200m,製造,YC-08,27.65,50.3,0.9,120.0,122.03,1020.1,497,0.01074,89.04,False
SC0007004,1000m,製造,YC-08,27.56,50.3,0.9,120.0,122.0,1020.0,1177,0.01058,89.06,False
SC0007005,1200m,製造,YC-08,27.48,50.2,0.9,120.0,122.0,1020.0,366,0.01022,89.03,False
SC0007006,1200m,製造,YC-08,28.68,50.8,0.9,120.05,122.06,1020.2,1281,0.01178,89.07,False
SC0007007,500m,製造,YC-08,28.09,50.4,0.9,120.06,122.01,1020.2,830,0.01066,89.15,False
SC0007008,1200m,製造,YC-08,28.73,50.8,0.9,120.09,122.18,1020.3,1315,0.01196,89.05,False
SC0007009,1200m,製造,YC-08,28.09,50.5,0.9,120.0,122.05,1020.1,830,0.01074,89.05,False
SC0007010,1200m,製造,YC-08,28.89,50.8,0.9,120.0,122.02,1020.1,1360,0.01094,89.05,False
SC0007011,1000m,製造,YC-08,27.96,50.4,0.9,120.02,122.01,1020.0,635,0.01038,89.05,True
SC0007012,500m,製造,YC-08,28.36,50.6,0.9,120.0,122.03,1020.1,1038,0.01062,89.06,False
SC0007013,1200m,製造,YC-08,27.5,50.5,0.9,120.03,122.01,1020.2,830,0.01165,89.07,False
SC0007014,1500m,製造,YC-08,27.03,50.1,0.9,120.09,122.01,1020.1,98,0.0101,89.03,False
SC0007015,1200m,製造,YC-08,27.95,,0.9,120.02,122.05,1020.1,552,0.01044,89.09,False
SC0007016,1000m,製造,YC-08,27.84,50.3,0.9,120.4,122.4,1020.7,512,0.01061,89.04,False
SC0007017,1200m,製造,YC-08,28.91,50.9,0.9,120.35,122.35,1021.0,1454,0.01202,89.06,True
SC0007018,1200m,製造,YC-08,28.59,50.7,0.9,120.05,122.06,1020.2,1169,0.01156,89.07,False
SC0007019,1200m,製造,YC-08,28.61,50.3,0.9,120.0,122.01,1020.0,497,0.01049,89.04,False
SC0007020,1500m,製造,YC-08,28.42,50.7,0.9,120.05,122.06,1020.2,1079,0.01107,89.07,False
SC0007021,1000m,製造,YC-08,27.95,50.4,0.9,120.17,122.34,1020.7,719,0.01071,89.06,False
SC0007022,1200m,試作品,YC-08,27.57,50.5,0.9,120.0,122.04,1020.1,552,0.01055,89.05,False
SC0007023,1500m,製造,YC-08,27.91,50.4,0.9,120.0,122.01,1020.0,691,0.01041,89.05,False
SC0007024,1200m,製造,YC-08,27.73,50.3,0.9,120.02,122.04,1020.1,552,0.01027,89.04,False
SC0007025,1200m,製造,YC-08,27.07,50.1,0.9,120.0,122.24,1020.4,200,0.01018,89.04,False
SC0007026,300m,製造,YC-08,27.23,50.1,0.9,120.02,122.0,1020.0,170,0.01014,89.02,False
SC0007027,1200m,製造,YC-08,30.13,51.5,0.9,120.05,122.07,1020.1,2389,0.01142,89.16,False
SC0007028,1200m,製造,YC-08,27.44,50.2,0.9,120.0,122.09,1020.1,330,0.01036,89.06,False
SC0007029,1000m,製造,YC-08,27.5,51.0,0.9,120.0,122.0,1020.1,1385,0.01096,89.07,False
SC0007030,1200m,製造,YC-08,28.09,50.5,0.9,120.0,122.01,1020.0,830,0.01033,89.07,False
SC0007031,100m,製造,YC-08,27.52,50.2,0.9,120.0,122.0,1020.0,393,0.0102,89.02,False
SC0007032,1000m,製造,YC-08,27.77,50.4,0.9,120.18,122.18,1020.4,691,0.01076,89.04,False
SC0007033,500m,製造,YC-08,28.83,51.5,0.9,120.0,122.06,1020.2,2426,0.01288,89.12,False
SC0007034,1500m,製造,YC-08,29.73,51.3,0.9,120.16,122.33,1021.2,2079,0.0133,89.09,False
SC0007035,1000m,製造,YC-08,28.91,50.9,0.9,120.14,122.09,1020.0,1454,0.01072,89.13,False
SC0007036,1500m,製造,YC-08,28.27,50.6,0.9,120.02,122.02,1020.1,968,0.01096,89.05,False
SC0007037,1000m,製造,YC-08,28.36,50.6,0.9,120.0,122.05,1020.1,1038,0.01103,89.08,False
SC0007038,500m,製造,YC-08,27.73,50.3,0.9,120.0,122.02,1020.0,552,0.01044,89.04,False
SC0007039,1000m,製造,YC-08,27.5,50.9,0.9,120.0,122.12,1020.7,1385,0.01234,89.05,False
SC0007040,500m,製造,YC-08,27.24,50.2,0.9,120.36,122.04,1020.5,370,0.01041,89.07,False
SC0007041,500m,製造,YC-08,29.68,51.2,0.9,120.6,122.4,1020.6,1874,0.01149,89.09,False
SC0007042,1500m,製造,YC-08,28.71,50.8,0.9,120.02,122.0,1020.0,1303,0.01155,89.03,True
SC0007043,1200m,製造,YC-08,27.75,50.7,0.9,120.0,122.16,1020.8,1107,0.01154,89.04,False
SC0007044,1500m,製造,YC-08,29.31,50.6,0.9,120.0,122.03,1020.6,1038,0.01124,89.04,False
SC0007045,1000m,製造,YC-08,29.12,50.8,0.9,120.08,122.08,1020.2,1211,0.01096,89.09,False
SC0007046,1500m,製造,YC-08,28.01,50.3,0.9,120.0,122.09,1020.1,413,0.01029,89.03,False
SC0007047,1200m,製造,YC-08,28.45,50.7,0.9,120.05,122.03,1020.2,1107,0.01121,89.03,False
SC0007048,1200m,製造,YC-08,29.27,51.1,0.9,120.07,122.01,1020.1,1732,0.01189,89.05,True
SC0007049,500m,製造,YC-08,28.03,50.5,0.9,120.05,122.04,1020.1,783,0.0107,89.04,False
SC0007050,1000m,製造,YC-08,27.29,50.5,0.9,120.09,122.09,1020.2,795,0.01087,89.08,False
SC0007051,1200m,製造,YC-08,29.33,51.1,0.9,120.0,122.08,1020.3,1777,0.01317,89.05,True
SC0007052,500m,製造,YC-08,28.03,51.1,0.9,120.0,122.15,1020.5,1726,0.01171,89.05,False
SC0007053,1000m,製造,YC-08,27.41,50.2,0.9,120.03,122.02,1020.0,309,0.01015,89.06,False
SC0007054,1500m,製造,YC-08,28.09,50.5,0.9,120.0,122.03,1020.1,830,0.01058,89.03,True
SC0007055,1500m,製造,YC-08,28.27,50.6,0.9,120.0,122.05,1020.3,968,0.01154,89.05,False
SC0007056,1000m,製造,YC-08,28.91,50.9,0.9,120.0,122.16,1020.7,1454,0.01216,89.05,False
SC0007057,1200m,製造,YC-08,27.59,50.3,0.9,120.05,122.05,1020.1,448,0.0104,89.04,False
SC0007058,500m,製造,YC-08,27.46,51.0,0.9,120.09,122.09,1020.4,1662,0.0128,89.12,False
SC0007059,500m,製造,YC-08,27.55,50.9,0.9,120.09,122.09,1020.2,1385,0.01192,89.04,False
SC0007060,1200m,製造,YC-08,27.27,50.1,0.9,120.05,122.09,1020.2,205,0.01004,89.02,False
SC0007061,1200m,製造,YC-08,27.36,50.2,0.9,120.0,122.2,1020.7,349,0.01027,89.08,False
SC0007062,1200m,製造,YC-08,28.45,50.5,0.9,120.0,122.04,1020.2,760,0.01068,89.06,False
SC0007063,1000m,製造,YC-08,27.63,50.4,0.9,120.11,122.02,1020.3,691,0.01055,89.08,False
SC0007064,1000m,製造,YC-08,28.64,50.8,0.9,120.0,122.0,1020.1,1246,0.01136,89.05,False
SC0007065,1000m,製造,YC-08,28.84,50.9,0.9,120.05,122.06,1020.2,1399,0.01153,89.05,True
SC0007066,1000m,製造,YC-08,28.12,50.5,0.9,120.0,122.0,1020.0,856,0.01034,89.06,False
SC0007067,1500m,製造,YC-08,28.09,50.5,0.9,120.0,122.03,1020.5,830,0.01074,89.06,False
SC0007068,1500m,製造,YC-08,27.36,50.2,0.9,120.11,122.14,1020.6,275,0.01041,89.04,False
SC0007069,300m,製造,YC-08,27.09,50.0,0.9,120.05,122.03,1020.2,66,0.01017,89.07,False
SC0007070,1200m,製造,YC-08,27.2,50.5,0.9,120.36,122.24,1021.3,830,0.01132,89.07,False
SC0007071,1000m,製造,YC-08,27.13,50.4,0.9,120.08,122.09,1020.3,552,0.01088,89.05,False
SC0007072,1500m,製造,YC-08,28.09,50.5,0.9,120.0,122.0,1020.0,830,0.01066,89.05,False
SC0007073,1500m,製造,YC-08,28.02,50.4,0.9,120.0,122.1,1021.0,691,0.01062,89.06,False
SC0007074,1200m,製造,YC-08,28.78,50.8,0.9,120.0,122.03,1020.1,1357,0.01121,89.04,False
SC0007075,500m,製造,YC-08,28.45,51.0,0.9,120.05,122.09,1020.2,1662,0.01115,89.12,False
SC0007076,1000m,製造,YC-08,27.61,50.4,0.9,120.0,122.02,1020.2,691,0.01082,89.05,False
SC0007077,300m,製造,YC-08,28.17,50.6,0.9,120.01,122.0,1020.0,890,0.01097,89.03,False
SC0007078,500m,製造,YC-08,27.19,50.1,0.9,120.0,122.0,1020.0,143,0.01006,89.02,False
SC0007079,100m,研究所テスト,YC-08,27.97,50.7,0.9,120.31,122.2,1020.4,1107,0.01077,89.04,False
SC0007080,1200m,製造,YC-08,28.09,50.5,0.9,120.0,122.09,1020.3,830,0.01099,89.06,False
SC0007081,1000m,製造,YC-08,27.38,50.1,0.9,120.39,122.26,1020.7,448,0.01027,89.05,True
SC0007082,1200m,製造,YC-08,28.05,50.5,0.9,120.0,122.01,1020.1,795,0.01079,89.03,False
SC0007083,1200m,製造,YC-08,28.64,50.8,0.9,120.14,122.09,1020.2,1246,0.01124,89.09,False
SC0007084,1200m,製造,YC-08,28.45,50.6,0.9,120.0,122.31,1021.6,1732,0.0112,89.17,False
SC0007085,1500m,製造,YC-08,27.21,50.2,0.9,120.65,122.26,1021.2,344,0.01034,89.1,False
SC0007086,1200m,製造,YC-08,27.31,50.1,0.9,120.09,122.09,1020.1,205,0.0101,89.03,False
SC0007087,1000m,製造,YC-08,28.39,50.4,0.9,120.14,122.01,1020.2,319,0.01099,89.02,False
SC0007088,1200m,製造,YC-08,27.7,50.3,0.9,120.0,122.04,1020.1,533,0.0108,89.04,False
SC0007089,300m,製造,YC-08,27.79,50.3,0.9,120.06,122.04,1020.1,1107,0.01077,89.09,False
SC0007090,1200m,製造,YC-08,27.32,50.6,0.9,120.0,122.0,1020.1,1003,0.0109,89.12,False
SC0007091,1200m,製造,YC-08,28.54,50.7,0.9,120.14,122.09,1020.3,1177,0.01128,89.04,False
SC0007092,1000m,製造,YC-08,28.47,50.7,0.9,120.0,122.03,1020.1,1121,0.01156,89.04,True
SC0007093,500m,製造,YC-08,27.34,50.2,0.9,120.0,122.1,1020.7,292,0.01053,89.04,False
SC0007094,1500m,製造,YC-08,27.91,50.4,0.9,120.02,122.01,1020.0,691,0.01062,89.06,True
SC0007095,1000m,製造,YC-08,28.54,50.7,0.9,120.0,122.05,1020.1,1177,0.01093,89.04,False
SC0007096,1000m,製造,YC-08,28.09,50.5,0.9,120.05,122.01,1020.2,830,0.01107,89.05,False
SC0007097,1200m,製造,YC-08,30.18,51.5,0.9,120.0,122.05,1020.1,2426,0.01192,89.11,False
SC0007098,1500m,製造,YC-08,27.36,50.2,0.9,120.0,122.0,1020.0,275,0.01014,89.05,False
SC0007099,300m,製造,YC-08,29.07,51.0,0.9,120.05,122.01,1020.1,1579,0.01172,89.1,False
SC0007100,1200m,製造,YC-08,27.77,50.4,0.9,120.05,122.04,1020.1,587,0.0107,89.02,False
SC0007101,1200m,製造,YC-08,27.11,50.1,0.9,120.02,122.01,1020.1,219,0.01024,89.04,False
SC0007102,1200m,製造,YC-08,28.72,50.8,0.9,120.05,122.01,1020.2,1307,0.0122,89.04,False
SC0007103,1200m,製造,YC-08,27.73,50.3,0.9,120.14,122.28,1020.2,552,0.01055,89.05,False
SC0007104,1000m,製造,YC-08,27.52,50.2,0.9,120.02,122.04,1020.1,691,0.01082,89.03,False
SC0007105,1200m,製造,YC-08,28.66,50.8,0.9,120.0,122.64,1021.9,1262,0.01213,89.12,False
SC0007106,1000m,製造,YC-08,31.12,50.9,0.9,120.11,122.17,1020.3,1524,0.01136,89.06,False
SC0007107,500m,製造,YC-08,29.7,51.1,0.9,120.0,122.28,1021.1,995,0.01173,89.04,False
SC0007108,500m,試作品,YC-08,27.35,50.2,0.9,120.0,122.0,1020.0,301,0.01021,89.02,False
SC0007109,1500m,製造,YC-08,27.73,50.3,0.9,120.0,122.02,1020.3,552,0.01049,89.02,False
SC0007110,1500m,製造,YC-08,27.73,50.3,0.9,120.0,122.0,1020.0,552,0.01022,89.04,False
SC0007111,300m,製造,YC-08,27.5,50.3,0.9,120.09,122.05,1020.3,830,0.01107,89.05,False
SC0007112,1200m,製造,YC-08,27.82,50.4,0.9,120.0,122.1,1020.6,621,0.01087,89.06,False
SC0007113,1200m,製造,YC-08,27.33,50.2,0.9,120.02,122.01,1020.1,247,0.01025,89.03,False
SC0007114,1000m,製造,YC-08,27.67,50.3,0.9,120.1,122.02,1020.5,512,0.01076,89.06,False
SC0007115,500m,製造,YC-08,27.52,50.5,0.9,120.02,122.01,1020.0,767,0.01084,89.03,False
SC0007116,1000m,製造,YC-08,27.83,50.4,0.9,120.05,122.04,1020.1,634,0.0105,89.09,False
SC0007117,1000m,製造,YC-08,27.79,50.5,0.9,120.0,122.19,1021.0,830,0.01082,89.04,False
SC0007118,1200m,製造,YC-08,28.86,50.9,0.9,120.05,122.04,1020.1,1419,0.01155,89.08,False
SC0007119,1500m,製造,YC-08,27.32,50.2,0.9,120.0,122.01,1020.1,240,0.01012,89.03,False
SC0007120,1000m,製造,YC-08,27.55,50.3,0.9,120.0,122.28,1020.3,413,0.01041,89.03,True
SC0007121,1200m,製造,YC-08,28.09,50.5,0.9,120.0,122.19,1020.4,830,0.01091,89.05,False
SC0007122,300m,製造,YC-08,27.46,50.7,0.9,120.0,122.01,1020.1,1164,0.01092,89.04,False
SC0007123,1200m,製造,YC-08,28.82,50.9,0.9,120.0,122.17,1020.5,1385,0.01261,89.04,False
SC0007124,1500m,製造,YC-08,28.31,50.6,0.9,120.4,122.8,1021.3,996,0.01109,89.1,False
SC0007125,1000m,製造,YC-08,27.39,50.2,0.9,120.0,122.01,1020.1,344,0.01027,89.03,False
SC0007126,1200m,製造,YC-08,29.5,51.2,0.9,120.0,122.02,1020.1,1905,0.01378,89.05,False
SC0007127,30m,研究所テスト,YC-08,29.73,51.3,0.9,120.05,122.05,1020.4,2079,0.01433,89.16,False
SC0007128,1200m,製造,YC-08,27.55,50.3,0.9,120.01,122.0,1020.0,413,0.01037,89.06,False
SC0007129,1200m,試作品,YC-08,29.27,51.1,0.9,120.26,122.18,1020.8,1732,0.01155,89.06,False
SC0007130,1200m,製造,YC-08,29.97,51.0,0.9,120.0,122.38,1021.1,480,0.01148,89.02,False
SC0007131,500m,製造,YC-08,27.77,50.9,0.9,120.33,122.52,1021.8,1385,0.01247,89.14,False
SC0007132,100m,研究所テスト,YC-08,27.87,50.3,0.9,120.56,122.37,1020.9,2426,0.0124,89.08,False
SC0007133,100m,研究所テスト,YC-08,28.14,51.0,0.9,120.14,122.11,1020.3,1799,0.01214,89.05,False
SC0007134,1200m,製造,YC-08,28.78,50.6,0.9,120.0,122.08,1020.1,1038,0.01124,89.04,False
SC0007135,1500m,製造,YC-08,27.36,50.2,0.9,120.0,122.13,1020.3,275,0.01027,89.03,False
SC0007136,1500m,製造,YC-08,28.28,50.6,0.9,120.0,122.01,1020.1,974,0.01058,89.03,True
SC0007137,100m,研究所テスト,YC-08,28.55,50.7,0.9,120.05,122.09,1020.1,1180,0.0107,89.04,False
SC0007138,1200m,製造,YC-08,27.27,50.1,0.9,120.02,122.01,1020.1,205,0.01027,89.05,False
SC0007139,500m,製造,YC-08,28.36,50.6,0.9,120.03,122.01,1020.1,736,0.01093,89.04,False
SC0007140,1500m,製造,YC-08,27.17,50.1,0.9,120.11,122.07,1020.7,483,0.01067,89.05,False
SC0007141,300m,製造,YC-08,27.52,51.1,0.9,120.0,122.21,1020.6,1315,0.01235,89.05,False
SC0007142,1000m,製造,YC-08,27.15,50.1,0.9,120.14,122.01,1020.1,108,0.01007,89.03,False
SC0007143,1200m,製造,YC-08,27.14,50.1,0.9,120.0,122.3,1020.6,101,0.01009,89.07,False
SC0007144,500m,製造,YC-08,28.03,,0.9,120.0,122.02,1020.1,781,0.0107,89.04,False
SC0007145,1000m,製造,YC-08,28.4,50.6,0.9,120.08,122.13,1020.5,705,0.01126,89.06,False
SC0007146,500m,製造,YC-08,28.45,50.7,0.9,120.33,122.33,1020.8,1107,0.01187,89.06,False
SC0007147,1200m,試作品,YC-08,29.18,51.0,0.9,120.0,122.35,1020.5,1662,0.01148,89.08,False
SC0007148,1200m,製造,YC-08,27.93,50.3,0.9,120.02,122.01,1020.1,413,0.01054,89.04,False
SC0007149,1200m,製造,YC-08,29.54,50.5,0.9,120.0,122.05,1020.2,830,0.01082,89.05,False
SC0007150,1200m,製造,YC-08,27.25,50.3,0.9,120.0,122.07,1020.7,413,0.01025,89.05,False
SC0007151,1200m,製造,YC-08,28.56,50.7,0.9,120.32,122.1,1021.1,630,0.011,89.04,True
SC0007152,1200m,製造,YC-08,27.45,50.2,0.9,120.0,122.0,1020.1,344,0.01058,89.03,False
SC0007153,1200m,製造,YC-08,27.47,50.5,0.9,120.01,122.02,1020.0,781,0.0107,89.08,False
SC0007154,1500m,製造,YC-08,28.09,50.4,0.9,120.3,122.3,1020.7,1524,0.01272,89.1,False
SC0007155,1000m,製造,YC-08,28.14,50.5,0.9,120.01,122.01,1020.0,734,0.01102,89.03,False
SC0007156,30m,研究所テスト,YC-08,30.13,51.2,0.9,120.0,122.06,1020.3,2016,0.0122,89.12,False
SC0007157,1000m,試作品,YC-08,28.99,50.9,0.9,120.0,122.01,1020.0,1513,0.01105,89.04,False
SC0007158,1500m,製造,YC-08,28.47,50.6,0.9,120.13,122.09,1020.4,968,0.01221,89.03,True
SC0007159,500m,製造,YC-08,27.9,50.6,0.9,120.09,122.09,1020.2,1026,0.01102,89.06,False
SC0007160,1200m,試作品,YC-08,27.94,50.4,0.9,120.05,122.02,1020.3,691,0.01076,89.03,False
SC0007161,1000m,試作品,YC-08,27.45,50.2,0.9,120.0,122.01,1020.0,243,0.01024,89.02,False
SC0007162,1500m,製造,YC-08,28.4,50.3,0.9,120.02,122.02,1020.0,517,0.01021,89.02,True
SC0007163,1500m,製造,YC-08,28.82,50.7,0.9,120.59,122.04,1020.9,1478,0.01191,89.04,True
SC0007164,1200m,製造,YC-08,29.27,51.1,0.9,120.0,122.02,1020.5,1730,0.01206,89.08,False
SC0007165,100m,研究所テスト,YC-08,29.48,51.2,0.9,120.02,122.01,1020.1,1891,0.01225,89.05,False
SC0007166,1500m,製造,YC-08,27.93,50.3,0.9,120.0,122.08,1020.1,552,0.01033,89.04,False
SC0007167,1200m,製造,YC-08,28.64,50.8,0.9,120.0,122.09,1020.1,1246,0.01087,89.05,False
SC0007168,1500m,製造,YC-08,27.34,50.2,0.9,120.09,122.05,1020.1,255,0.01033,89.04,False
SC0007169,1000m,製造,YC-08,27.73,50.3,0.9,120.05,122.01,1020.1,552,0.01044,89.06,False
SC0007170,1500m,製造,YC-08,28.27,50.6,0.9,120.0,122.02,1020.1,968,0.01096,89.08,False
SC0007171,1500m,製造,YC-08,27.74,50.3,0.9,120.0,122.0,1020.0,563,0.01034,89.05,False
SC0007172,500m,製造,YC-08,27.45,50.2,0.9,120.45,122.23,1020.4,760,0.01068,89.05,True
SC0007173,500m,製造,YC-08,27.91,50.4,0.9,120.0,122.05,1020.1,691,0.01062,89.05,False
SC0007174,1200m,製造,YC-08,27.36,50.2,0.9,120.0,122.07,1020.1,275,0.0103,89.05,False
SC0007175,300m,製造,YC-08,28.45,50.7,0.9,120.09,122.09,1020.4,1107,0.01253,89.07,False
SC0007176,1000m,製造,YC-08,27.91,50.4,0.9,120.0,122.01,1020.0,825,0.01041,89.03,False
SC0007177,1500m,試作品,YC-08,27.7,50.2,0.9,120.0,122.07,1020.3,344,0.01069,89.03,False
SC0007178,1200m,試作品,YC-08,28.16,50.5,0.9,120.0,122.02,1020.0,812,0.01032,89.04,False
SC0007179,1000m,製造,YC-08,30.54,51.4,0.9,120.08,122.16,1020.6,1099,0.0112,89.03,False
SC0007180,1200m,製造,YC-08,27.79,50.5,0.9,120.0,122.01,1020.0,795,0.01087,89.03,False
SC0007181,1500m,製造,YC-08,30.18,51.5,0.9,120.04,122.01,1020.2,2426,0.01409,89.1,True
SC0007182,500m,製造,YC-08,29.34,50.9,0.9,120.0,122.02,1020.1,1732,0.01137,89.07,False
SC0007183,1500m,製造,YC-08,30.18,51.5,0.9,120.0,122.02,1020.1,2426,0.0124,89.07,False
SC0007184,500m,製造,YC-08,27.27,50.6,0.9,120.0,122.09,1020.2,951,0.01123,89.07,False
SC0007185,1200m,製造,YC-08,28.36,50.6,0.9,120.0,122.02,1020.0,1036,0.01051,89.05,False
SC0007186,500m,製造,YC-08,27.87,50.3,0.9,120.0,122.0,1020.0,621,0.01049,89.04,False
SC0007187,1000m,製造,YC-08,27.64,50.3,0.9,120.03,122.01,1020.0,483,0.01048,89.06,False
SC0007188,1000m,製造,YC-08,28.2,50.6,0.9,120.05,122.06,1020.3,913,0.01136,89.05,False
SC0007189,1500m,製造,YC-08,27.64,50.7,0.9,120.08,122.17,1020.2,1142,0.01045,89.04,True
SC0007190,300m,試作品,YC-08,27.25,50.1,0.9,120.0,122.0,1020.0,184,0.01009,89.01,False
SC0007191,1200m,製造,YC-08,29.01,50.9,0.9,120.0,122.19,1020.5,1530,0.01167,89.07,False
SC0007192,1000m,製造,YC-08,30.57,50.8,0.9,120.0,122.02,1020.2,1246,0.01173,89.05,False
SC0007193,1200m,製造,YC-08,27.73,50.3,0.9,120.0,122.03,1020.0,552,0.01027,89.05,False
SC0007194,1000m,製造,YC-08,30.17,51.2,0.9,120.0,122.02,1020.1,1107,0.01154,89.05,False
SC0007195,1500m,製造,YC-08,30.26,51.3,0.9,120.05,122.03,1020.2,1107,0.01242,89.05,True
SC0007196,1200m,製造,YC-08,27.39,50.3,0.9,120.05,122.09,1020.2,491,0.01088,89.04,False
SC0007197,1200m,製造,YC-08,30.25,50.9,0.9,120.56,122.45,1021.7,1385,0.01151,89.11,False
SC0007198,500m,製造,YC-08,27.77,50.4,0.9,120.09,122.09,1020.2,691,0.01076,89.04,False
SC0007199,1200m,製造,YC-08,28.34,50.3,0.9,120.23,122.46,1020.7,413,0.01021,89.05,False
SC0007200,1200m,製造,YC-08,28.05,50.5,0.9,120.0,122.0,1020.0,795,0.01071,89.03,False
SC0007201,300m,製造,YC-08,27.29,50.2,0.9,120.0,122.0,1020.0,483,0.0101,89.09,False
SC0007202,1000m,製造,YC-08,27.91,50.4,0.9,120.05,122.01,1020.2,691,0.01082,89.12,True
SC0007203,1200m,製造,YC-08,28.09,50.5,0.9,120.0,122.0,1020.0,830,0.01074,89.07,False
SC0007204,1500m,試作品,YC-08,29.66,50.9,0.9,120.79,122.08,1022.7,1393,0.01194,89.14,False
SC0007205,1200m,製造,YC-08,27.55,50.3,0.9,120.0,122.04,1020.1,413,0.01041,89.1,False
SC0007206,500m,製造,YC-08,28.45,50.7,0.9,120.0,122.09,1020.1,1107,0.01077,89.04,False
SC0007207,500m,製造,YC-08,27.66,50.3,0.9,120.0,122.02,1020.0,830,0.01066,89.04,False
SC0007208,1200m,製造,YC-08,28.6,50.4,0.9,120.1,122.01,1020.1,258,0.01034,89.04,False
SC0007209,1500m,製造,YC-08,28.0,50.5,0.9,120.0,122.13,1020.6,760,0.01113,89.07,False
SC0007210,1200m,製造,YC-08,31.22,50.9,0.9,120.26,122.08,1020.7,1454,0.01216,89.13,False
SC0007211,1200m,製造,YC-08,27.5,50.2,0.9,120.09,122.11,1020.2,379,0.0103,89.03,False
SC0007212,1200m,製造,YC-08,28.55,50.9,0.9,120.19,122.08,1021.6,1392,0.01207,89.08,False
SC0007213,1000m,製造,YC-08,28.82,50.9,0.9,120.15,122.01,1020.1,1385,0.01069,89.04,False
